streak#,date,startTime,runningTime(min),Distance(mile),Shoes,temperature(C),weather
1643,20240519,03:22 pm,154,20.03,AGC23,15,Cloudy
1642,20240518,10:38 pm,33,4.01,VaporGlove2_02,10,Rainy
1641,20240517,07:32 am,83,11.01,AGC23,09,Cloudy
1640,20240516,11:11 pm,16,1.76,VaporGlove2_02,11,Cloudy
1639,20240515,06:19 am,82,10.34,AGC23,12,Sunny
1638,20240514,06:14 am,59,7.05,AGC23,11,Cloudy
1637,20240513,09:38 am,18,2.01,VaporGlove2_02,13,Cloudy
1636,20240512,07:26 am,127,17.01,AGC23,15,Sunny
1635,20240511,06:53 am,90,13.14,VF3,13,Sunny
1634,20240510,06:15 am,32,4.01,VaporGlove2_02,11,Sunny
1633,20240509,11:23 pm,17,2.01,VaporGlove2_02,16,Clear
1632,20240508,06:58 am,83,11.01,AGC23,07,Sunny
1631,20240507,10:54 pm,54,6.36,AGC23,09,Clear
1630,20240506,10:35 pm,29,3.52,VaporGlove2_02,08,Cloudy
1629,20240505,06:40 pm,18,2.01,Native,10,Cloudy
1628,20240504,06:14 pm,18,2.01,Native,11,Rainy
1627,20240503,11:34 am,68,12.01,AGC23,16,Sunny
1626,20240502,02:52 pm,51,2.80,AGC23,16,Sunny
1626,20240502,06:45 am,18,2.12,VaporGlove2_02,07,Sunny
1625,20240501,07:01 am,67,9.01,AGC23,06,Cloudy
1624,20240430,10:36 am,62,8.01,AGC23,08,Cloudy
1623,20240429,09:38 pm,18,2.00,VaporGlove2_02,08,Cloudy
1622,20240428,05:20 am,137,17.01,AGC23,19,Sunny
1621,20240427,07:04 am,90,13.14,AGC23,17,Sunny
1620,20240426,12:50 pm,41,5.01,AGC23,14,Cloudy
1619,20240425,10:25 am,16,1.59,VaporGlove2_02,11,Rainy
1618,20240424,06:53 am,88,12.01,AGC23,06,Cloudy
1617,20240423,07:21 am,60,8.01,AGC23,08,Sunny
1616,20240422,10:23 pm,20,2.14,VaporGlove2_02,11,Clear
1615,20240421,09:04 am,147,20.01,AGC23,10,Sunny
1614,20240420,07:39 pm,42,05.26,VaporGlove2_02,09,Sunny
1613,20240419,01:10 pm,90,12.01,AGC23,16,Sunny
1612,20240418,05:04 pm,18,2.01,VaporGlove2_02,16,Sunny
1611,20240417,06:23 am,77,11.01,AGC23,02,Sunny
1610,20240416,05:29 pm,57,7.01,AGC23,11,Sunny
1609,20240415,10:02 pm,17,2.00,VaporGlove2_02,08,Cloudy
1608,20240414,08:33 am,102,14.01,AGC23,10,Sunny
1607,20240413,08:04 am,61,8.00,AGC23,08,Cloudy
1606,20240412,09:33 pm,17,1.95,VaporGlove2_02,08,Cloudy
1605,20240411,08:02 am,41,5.00,VaporGlove2_02,07,Cloudy
1604,20240410,09:25 am,59,8.00,AGC23,08,Sunny
1603,20240409,10:13 pm,17,1.90,VaporGlove2_02,11,Cloudy
1602,20240408,04:28 pm,115,16.01,AGC23,11,Cloudy
1602,20240408,01:58 pm,07,0.86,Native,11,Cloudy
1601,20240407,05:44 pm,63,8.14,AGC23,11,Cloudy
1600,20240406,02:48 pm,18,2.08,Native,13,Sunny
1599,20240405,06:23 am,50,6.01,VaporGlove2_02,05,Cloudy
1598,20240404,09:35 pm,51,6.01,VaporGlove2_02,06,Cloudy
1597,20240403,11:33 am,103,14.02,AGC23,09,Cloudy
1596,20240402,07:12 pm,51,6.00,VaporGlove2_02,14,Cloudy
1595,20240401,05:48 pm,17,2.04,VaporGlove2_02,16,Sunny
1594,20240331,01:35 pm,149,20.01,AGC23,12,Sunny
