streak#,date,startTime,runningTime(min),Distance(mile),Shoes,temperature(C),weather
0544,20210516,10:46 am,16,2.1,Barefoot,17,Sunny
0543,20210515,10:27 pm,17,2.1,Barefoot,17,Clear
0542,20210514,07:30 am,16,2.2,Barefoot,12,Sunny
0541,20210513,07:02 am,20,2.5,Barefoot,10,Cloudy
0540,20210512,09:32 am,14,2.0,Barefoot,14,Cloudy
0539,20210511,07:04 am,19,2.5,Barefoot,08,Sunny
0538,20210510,06:42 am,31,3.9,Barefoot,08,Sunny
0537,20210509,08:45 am,21,2.6,Barefoot,11,Cloudy
0536,20210508,11:00 am,40,4.1,Barefoot,08,Sunny
0535,20210507,06:58 am,30,3.9,Barefoot,08,Cloudy
0534,20210506,09:35 am,22,2.6,Barefoot,14,Cloudy
0533,20210505,12:13 pm,29,3.9,Barefoot,18,Cloudy
0532,20210504,07:23 am,18,2.0,Barefoot,09,Cloudy
0531,20210503,09:27 am,15,2.0,Barefoot,10,Cloudy
0530,20210502,02:01 pm,35,4.0,Barefoot,18,Sunny
0529,20210501,08:48 am,30,3.9,Barefoot,10,Cloudy
0528,20210430,08:46 am,24,2.8,Barefoot,12,Rainy
0527,20210429,06:40 am,17,2.0,Barefoot,08,Cloudy
0526,20210428,06:59 am,21,2.5,Barefoot,09,Cloudy
0525,20210427,07:14 am,20,2.4,Barefoot,07,Cloudy
0524,20210426,07:22 am,16,2.0,Barefoot,07,Cloudy
0523,20210425,10:14 pm,16,1.9,Barefoot,09,Cloudy
0522,20210424,06:38 pm,17,2.0,Barefoot,11,Rainy
0521,20210423,01:12 pm,16,2.0,Barefoot,13,Sunny
0520,20210422,09:31 am,15,1.9,Barefoot,10,Cloudy
0519,20210421,10:32 pm,20,2.4,Barefoot,14,Clear
0518,20210420,09:42 pm,32,3.9,Barefoot,15,Clear
0517,20210419,07:11 am,20,2.3,Barefoot,08,Sunny
0516,20210418,09:59 pm,20,2.4,Barefoot,15,Clear
0515,20210417,07:59 am,20,2.2,Barefoot,14,Sunny
0514,20210416,07:52 am,21,2.0,Barefoot,10,Sunny
0513,20210415,04:45 pm,15,1.2,Barefoot,17,Sunny
0512,20210414,10:20 pm,20,2.4,Barefoot,13,Clear
0511,20210413,08:18 am,30,3.9,Barefoot,07,Sunny
0510,20210412,09:29 am,15,2.0,Barefoot,04,Sunny
0509,20210411,11:19 pm,17,2.0,Barefoot,05,Clear
0508,20210410,10:00 pm,20,2.4,Barefoot,05,Clear
0507,20210409,01:46 pm,16,2.0,Barefoot,07,Cloudy
0506,20210408,09:34 am,29,3.9,Barefoot,06,Sunny
0505,20210407,07:09 am,16,2.1,Barefoot,06,Cloudy
0504,20210406,01:14 pm,21,2.7,Barefoot,10,Sunny
0503,20210405,06:57 am,17,2.2,Barefoot,02,Sunny
0502,20210404,05:56 pm,16,1.9,Barefoot,08,Sunny
0501,20210403,10:45 pm,16,1.9,Barefoot,08,Rainy
0500,20210402,10:49 am,28,3.9,Barefoot,07,Cloudy
0499,20210401,07:07 am,15,1.9,Barefoot,07,Sunny
0498,20210331,10:12 pm,15,1.7,Barefoot,08,Clear
0497,20210330,06:51 am,21,2.5,Barefoot,01,Cloudy
0496,20210329,09:24 am,15,2.0,Barefoot,01,Sunny
0495,20210328,07:46 pm,15,1.8,Barefoot,06,Icy droppings
0494,20210327,06:24 pm,27,4.0,Barefoot,11,Cloudy
0493,20210326,06:51 am,31,3.9,Barefoot,05,Cloudy
0492,20210325,06:51 am,17,2.0,Barefoot,06,Rainy
0491,20210324,06:31 am,19,2.2,Barefoot,06,Cloudy
0490,20210323,09:28 am,14,2.0,Barefoot,04,Sunny
0489,20210322,07:04 am,19,2.1,Barefoot,06,Rainy
0488,20210321,10:49 pm,18,2.1,Barefoot,06,Cloudy
0487,20210320,12:43 pm,17,2.1,Barefoot,07,Cloudy
0486,20210319,10:21 pm,17,2.0,Barefoot,08,Rainy
0485,20210318,11:13 am,16,2.0,Barefoot,08,Rainy
0484,20210317,09:31 am,16,2.0,Barefoot,01,Sunny
0483,20210316,09:37 am,12,1.4,Barefoot,01,Sunny
0482,20210315,05:52 pm,22,2.2,Barefoot,07,Sunny
0481,20210314,09:20 pm,21,2.4,Barefoot,04,Rainy
0480,20210313,08:39 pm,23,2.5,Barefoot,11,Clear
0479,20210312,06:52 am,30,4.0,Barefoot,01,Sunny
0478,20210311,09:19 am,14,1.8,Barefoot,01,Sunny
0477,20210310,06:56 am,18,2.1,Barefoot,03,Cloudy
0476,20210309,06:55 am,18,2.1,Barefoot,03,Sunny
0475,20210308,06:58 am,18,2.0,Barefoot,00,Sunny
0474,20210307,05:55 pm,29,3.8,Barefoot,06,Cloudy
0473,20210306,11:12 am,21,2.2,Barefoot,08,Cloudy
0472,20210305,07:04 am,18,1.9,Barefoot,07,Cloudy
0471,20210304,06:49 am,21,2.4,Barefoot,03,Cloudy
