streak#,date,startTime,runningTime(min),Distance(mile),Shoes,temperature(C),weather
1293,20230604,11:14 pm,16,1.59,Barefoot,13,Clear
1292,20230603,01:00 pm,17,1.65,Barefoot,16,Sunny
1291,20230602,11:39 am,16,1.58,Barefoot,18,Sunny
1290,20230601,03:01 pm,67,9.17,VaporGlove2_02,16,Sunny
1289,20230531,06:30 pm,18,2.02,Barefoot,15,Cloudy
1288,20230530,01:30 pm,16,1.64,Barefoot,14,Cloudy
1287,20230529,12:23 pm,15,1.67,VaporGlove2_02,14,Cloudy
1287,20230529,07:25 am,12,1.12,VaporGlove2_02,10,Cloudy
1286,20230528,08:04 am,60,8.42,VaporGlove2_02,12,Cloudy
1285,20230527,07:30 am,38,5.01,VaporGlove2_02,12,Cloudy
1284,20230526,01:30 pm,40,5.00,VaporGlove2_02,21,Sunny
1283,20230525,10:55 am,44,5.98,VaporGlove2_02,16,Sunny
1282,20230524,07:17 am,25,3.58,VaporGlove2_02,13,Sunny
1281,20230523,11:45 am,35,4.51,VaporGlove2_02,13,Sunny
1280,20230522,09:50 am,16,1.70,VaporGlove2_02,10,Cloudy
1279,20230521,12:43 pm,22,3.21,VaporGlove2_02,12,Cloudy
1279,20230521,10:56 am,16,1.70,VaporGlove2_02,12,Cloudy
1278,20230520,07:41 am,36,5.09,VaporGlove2_02,14,Sunny
1277,20230519,11:52 am,23,3.25,VaporGlove2_02,16,Sunny
1276,20230518,10:34 pm,28,3.75,VaporGlove2_02,17,Clear
1275,20230517,07:21 am,24,3.22,VaporGlove2_02,13,Sunny
1274,20230516,06:45 am,20,2.40,VaporGlove2_02,14,Cloudy
1273,20230515,10:29 am,15,1.68,VaporGlove2_02,23,Sunny
1273,20230515,06:45 am,25,3.28,VaporGlove2_02,16,Sunny
1272,20230514,09:43 pm,40,5.01,VaporGlove2_02,22,Sunny
1271,20230513,08:06 pm,16,1.69,VaporGlove2_02,23,Sunny
1271,20230513,06:26 am,50,6.85,VaporGlove2_02,19,Sunny
1270,20230512,09:36 pm,28,3.29,VaporGlove2_02,20,Sunny
1269,20230511,08:00 pm,20,2.43,VaporGlove2_02,19,Sunny
1268,20230510,05:03 pm,16,1.70,VaporGlove2_02,19,Sunny
1267,20230509,02:20 pm,17,1.74,VaporGlove2_02,14,Cloudy
1266,20230508,10:54 am,16,1.79,VaporGlove2_02,13,Sunny
1265,20230507,10:40 am,12,1.26,VaporGlove2_02,11,Sunny
1264,20230506,10:23 am,17,1.81,VaporGlove2_02,10,Cloudy
1263,20230505,05:38 pm,26,3.46,VaporGlove2_02,09,Rainy
1262,20230504,02:34 pm,16,1.71,VaporGlove2_02,12,Cloudy
1261,20230503,11:14 am,16,1.72,VaporGlove2_02,16,Sunny
1260,20230502,12:07 pm,16,1.68,VaporGlove2_02,14,Sunny
1259,20230501,11:31 am,16,1.76,VaporGlove2_02,12,Cloudy
1258,20230430,11:29 am,72,8.04,VaporGlove2_02,12,Cloudy
1257,20230429,07:55 pm,16,1.57,VaporGlove2_02,20,Sunny
1256,20230428,10:53 am,29,3.44,VaporGlove2_02,15,Sunny
1255,20230427,11:30 am,39,5.04,VaporGlove2_02,12,Sunny
1254,20230426,12:04 pm,16,1.82,VaporGlove3,11,Cloudy
1253,20230425,10:09 am,16,1.80,VaporGlove3,08,Cloudy
1252,20230424,11:59 am,25,3.12,VaporGlove3,09,Cloudy
1251,20230423,11:02 am,15,1.65,VaporGlove3,08,Cloudy
1250,20230422,02:33 pm,32,3.72,VaporGlove3,16,Cloudy
1249,20230421,11:46 am,38,5.00,VaporGlove3,08,Cloudy
1248,20230420,03:33 pm,28,3.62,VaporGlove3,07,Rainy
1247,20230419,02:00 pm,16,1.74,VaporGlove3,08,Cloudy
1246,20230418,11:44 am,33,4.05,VaporGlove3,07,Cloudy
1245,20230417,10:29 am,16,1.81,VaporGlove3,08,Sunny
1244,20230416,12:35 pm,16,1.69,VaporGlove3,08,Rainy
1243,20230415,10:10 am,33,2.68,VaporGlove3,08,Cloudy
1242,20230414,10:39 am,19,2.29,VaporGlove3,09,Sunny
1241,20230413,11:32 am,32,7.53,VaporGlove3,07,Cloudy
1240,20230412,08:54 am,50,6.40,VaporGlove3,06,Cloudy
1239,20230411,12:22 pm,16,1.79,VaporGlove3,07,Cloudy
1238,20230410,08:58 am,25,3.34,VaporGlove3,07,Rainy
1238,20230410,08:41 am,16,1.79,VaporGlove3,07,Rainy
1237,20230409,11:25 am,15,1.69,VaporGlove3,10,Rainy
1236,20230408,09:41 am,16,1.80,VaporGlove3,07,Cloudy
1235,20230407,12:05 pm,39,4.97,VaporGlove3,11,Sunny
1234,20230406,11:53 am,17,1.85,VaporGlove3,10,Rainy
1233,20230405,11:13 am,16,1.77,VaporGlove3,08,Cloudy
1232,20230404,04:40 pm,24,3.27,VaporGlove3,09,Sunny
1232,20230404,12:59 pm,17,1.83,VaporGlove3,06,Cloudy
1231,20230403,10:19 pm,19,2.34,VaporGlove3,05,Cloudy
1230,20230402,10:15 am,31,3.53,VaporGlove3,04,Cloudy
1229,20230401,10:16 am,16,1.73,VaporGlove3,04,Cloudy
1228,20230331,09:00 am,40,5.01,VaporGlove3,07,Cloudy
1227,20230330,11:49 am,28,3.40,VaporGlove3,07,Cloudy
1226,20230329,10:39 am,16,1.77,VaporGlove3,10,Cloudy
1225,20230328,09:08 am,18,1.52,VaporGlove3,09,Cloudy
1224,20230327,09:22 am,18,1.87,VaporGlove3,02,Sunny
1223,20230326,04:59 pm,17,1.76,VaporGlove3,08,Sunny
1222,20230325,02:08 pm,16,1.54,VaporGlove3,07,Cloudy
1221,20230324,09:00 am,16,1.80,VaporGlove3,04,Cloudy
1220,20230323,12:16 pm,16,1.79,VaporGlove3,08,Cloudy
1219,20230322,10:54 am,16,1.82,VaporGlove3,08,Sunny
1218,20230321,08:25 am,16,1.79,VaporGlove3,07,Cloudy
1217,20230320,12:08 pm,15,1.80,VaporGlove3,08,Cloudy
1216,20230319,09:13 am,17,1.65,VaporGlove3,06,Cloudy
1215,20230318,09:34 am,33,3.58,VaporGlove3,06,Sunny
1214,20230317,11:24 am,17,1.84,VaporGlove3,10,Sunny
1213,20230316,12:25 pm,16,1.72,VaporGlove3,07,Sunny
1212,20230315,11:09 am,16,1.76,VaporGlove3,07,Cloudy
1211,20230314,02:34 pm,16,1.78,VaporGlove3,09,Sunny
1210,20230313,07:05 pm,17,1.82,VaporGlove3,07,Cloudy
1209,20230312,05:56 pm,16,1.70,VaporGlove3,07,Rainy
1208,20230311,12:23 pm,16,1.77,VaporGlove3,08,Cloudy
1207,20230310,09:35 pm,20,2.36,VaporGlove3,05,Rainy
1206,20230309,11:47 am,16,1.76,VaporGlove3,06,Cloudy
1205,20230308,08:26 am,17,1.73,VaporGlove3,02,Cloudy
1204,20230307,12:29 pm,16,1.30,VaporGlove3,08,Sunny
1203,20230306,08:30 am,16,1.80,VaporGlove3,01,Sunny
1202,20230305,10:30 am,16,1.74,VaporGlove3,03,Sunny
1201,20230304,10:58 am,17,1.83,VaporGlove3,06,Cloudy
1200,20230303,05:28 pm,15,2.15,VaporGlove3,03,Rainy
1199,20230302,12:01 pm,20,2.55,VaporGlove3,06,Sunny
1198,20230301,12:32 pm,15,1.78,VaporGlove3,04,Sunny
1197,20230228,02:03 pm,16,2.12,VaporGlove3,04,Icy droppings 
