streak#,date,startTime,runningTime(min),Distance(mile),Shoes,temperature(C),weather
1009,20220824,08:35 am,20,3.1,Barefoot,18,Sunny
1008,20220823,04:29 pm,21,3.1,Barefoot,23,Sunny
1007,20220822,09:34 am,30,3.4,Barefoot,19,Sunny
1006,20220821,08:42 am,38,3.2,Barefoot,18,Cloudy
1005,20220820,07:00 am,99,13.1,Barefoot,18,Cloudy
1004,20220819,10:48 am,29,3.3,Barefoot,19,Cloudy
1003,20220818,02:47 pm,26,3.4,Barefoot,29,Cloudy
1002,20220817,12:40 pm,29,3.1,Barefoot,24,Sunny
1001,20220816,02:12 pm,39,4.6,Barefoot,24,Sunny
1000,20220815,12:17 pm,30,3.3,Barefoot,23,Sunny
0999,20220814,09:50 am,91,13.1,Barefoot,20,Sunny
0998,20220813,11:24 am,24,3.4,Barefoot,22,Cloudy
0997,20220812,03:29 pm,33,4.6,Barefoot,26,Sunny
0996,20220811,11:42 am,22,2.4,Barefoot,20,Cloudy
0995,20220810,09:32 am,28,3.4,Barefoot,18,Cloudy
0994,20220809,12:19 pm,31,3.4,Barefoot,18,Cloudy
0993,20220808,09:24 am,26,3.4,Barefoot,20,Sunny
0992,20220807,10:36 am,29,3.4,Barefoot,20,Sunny
0991,20220806,07:35 am,107,13.1,Barefoot,26,Sunny
0990,20220805,07:38 am,20,2.4,Barefoot,20,Sunny
0989,20220804,07:33 am,31,3.4,Barefoot,24,Sunny
0988,20220803,06:01 am,31,3.4,Barefoot,13,Cloudy
0987,20220802,13:53 pm,31,3.1,Barefoot,21,Sunny
0986,20220801,11:48 am,32,3.5,Barefoot,20,Sunny
0985,20220731,11:00 pm,31,3.5,Barefoot,25,Clear
0984,20220730,05:26 am,120,16.6,Barefoot,19,Sunny
0983,20220729,07:03 am,36,4.8,Barefoot,16,Sunny
0982,20220728,08:47 am,30,3.6,Barefoot,18,Sunny
0981,20220727,07:27 am,29,3.8,Barefoot,18,Sunny
0980,20220726,01:21 pm,25,3.4,Barefoot,27,Sunny
0979,20220725,07:51 am,20,2.3,Barefoot,17,Sunny
0978,20220724,10:29 pm,30,3.6,Barefoot,15,Clear
0977,20220723,07:05 am,104,13.2,VaporGlove3,15,Sunny
0976,20220722,07:29 am,40,5.2,VaporGlove3,13,Cloudy
0975,20220721,07:45 am,33,4.5,VaporGlove3,14,Sunny
0974,20220720,09:44 am,16,2.0,VaporGlove3,15,Sunny
0973,20220719,06:54 am,44,6.2,Barefoot,14,Sunny
0972,20220718,09:19 am,26,3.4,Barefoot,14,Cloudy
0971,20220717,07:18 am,27,3.5,Barefoot,13,Cloudy
0970,20220716,07:03 am,95,13.1,Barefoot,17,Cloudy
0969,20220715,09:15 am,28,3.4,Barefoot,15,Sunny
0968,20220714,09:32 am,28,3.4,Barefoot,16,Sunny
0967,20220713,12:05 pm,35,4.8,Barefoot,19,Sunny
0966,20220712,05:37 am,31,3.4,Barefoot,14,Sunny
0965,20220711,10:56 am,43,5.1,Barefoot,19,Sunny
0964,20220710,11:21 pm,20,2.1,Barefoot,17,Clear
0963,20220709,10:18 am,96,11.5,Barefoot,17,Sunny
0962,20220708,09:32 am,36,4.3,Barefoot,16,Cloudy
0961,20220707,09:40 am,37,4.8,Barefoot,17,Cloudy
0960,20220706,11:48 am,39,4.7,Barefoot,19,Cloudy
0959,20220705,05:56 pm,19,1.5,Barefoot,19,Rainy
0958,20220704,10:34 am,40,4.7,Barefoot,15,Cloudy
0957,20220703,10:17 am,25,2.5,Barefoot,13,Rainy
0956,20220702,07:35 am,95,13.1,Barefoot,14,Cloudy
0955,20220701,10:21 am,31,3.5,Barefoot,17,Sunny
0954,20220630,09:26 am,34,3.9,Barefoot,16,Cloudy
0953,20220629,09:38 am,28,3.4,Barefoot,14,Cloudy
0952,20220628,09:05 am,36,4.1,Barefoot,17,Cloudy
0951,20220627,11:03 am,35,4.5,Barefoot,24,Sunny
0950,20220626,09:32 am,42,4.9,Barefoot,22,Sunny
0949,20220625,07:22 am,94,13.1,Barefoot,19,Sunny
0948,20220624,11:43 am,30,4.1,Barefoot,19,Sunny
0947,20220623,08:41 am,27,3.5,Barefoot,14,Sunny
0946,20220622,08:56 am,14,1.7,Barefoot,14,Rainy
0945,20220621,07:42 am,31,3.6,Barefoot,14,Cloudy
0944,20220620,09:40 am,33,3.7,Barefoot,12,Cloudy
0943,20220619,07:35 am,93,13.1,Barefoot,12,Cloudy
0942,20220618,08:56 am,30,3.6,Barefoot,12,Rainy
0941,20220617,08:24 am,35,3.9,Barefoot,12,Cloudy
0940,20220616,09:24 am,31,3.5,Barefoot,13,Sunny
0939,20220615,10:33 am,32,3.5,Barefoot,12,Cloudy
0938,20220614,09:26 am,32,4.8,Barefoot,11,Cloudy
0937,20220613,09:25 am,34,3.6,Barefoot,11,Cloudy
0936,20220612,09:45 am,34,3.6,Barefoot,10,Cloudy
0935,20220611,06:28 am,97,13.1,Barefoot,13,Cloudy
0934,20220610,06:36 am,28,4.0,Barefoot,14,Cloudy
0933,20220609,09:35 am,30,3.5,Barefoot,13,Rainy
0932,20220608,09:00 am,30,3.4,Barefoot,14,Cloudy
0931,20220607,09:27 am,35,4.9,Barefoot,15,Sunny
0930,20220606,11:12 am,31,3.3,Barefoot,16,Sunny
0929,20220605,08:27 am,91,13.2,Barefoot,14,Rainy
0928,20220604,09:48 am,31,3.2,Barefoot,14,Cloudy
0927,20220603,10:29 am,32,3.4,VaporGlove3,13,Cloudy
0926,20220602,11:15 am,31,3.5,Barefoot,19,Sunny
0925,20220601,09:02 am,32,3.5,Barefoot,16,Cloudy
0924,20220531,09:53 am,32,3.4,Barefoot,12,Sunny
0923,20220530,09:04 am,31,3.4,Barefoot,09,Cloudy
0922,20220529,11:03 am,34,3.8,Barefoot,11,Cloudy
0921,20220528,06:56 am,98,13.3,Barefoot,11,Rainy
0920,20220527,09:14 am,31,3.4,Barefoot,12,Cloudy
0919,20220526,01:17 pm,54,7.5,Barefoot,18,Cloudy
0918,20220525,09:08 am,32,3.6,Barefoot,12,Cloudy
0917,20220524,11:05 am,31,3.5,Barefoot,13,Cloudy
0916,20220523,09:29 am,35,3.9,Barefoot,14,Cloudy
0915,20220522,10:54 am,30,3.5,Barefoot,16,Sunny
0914,20220521,11:01 am,97,13.1,Barefoot,14,Sunny
0913,20220520,11:33 am,30,3.4,Barefoot,13,Cloudy
0912,20220519,06:29 am,29,3.4,Barefoot,06,Sunny
