streak#,date,startTime,runningTime(min),Distance(mile),Shoes,temperature(C),weather
2388,20260604,11:20 PM,18,1.49,Barefoot,12,Cloudy
2388,20260603,11:26 PM,24.01,2.40,SL2,16,Cloudy
2387,20260602,6:29 AM,26.02,2.45,SL2,12,Sunny
2386,20260601,11:02 PM,42,3.72,SL2,16,Sunny
2385,20260531,4:54 PM,39,3.42,SL2,17,Sunny
2384,20260530,7:00 AM,217.72,26.32,Barefoot,08,Cloudy
2383,20260529,6:45 PM,32.08,3.98,SL2,12,Cloudy
2382,20260528,8:08 PM,47.03,6.02,Barefoot,20,Cloudy
2381,20260527,11:47 PM,37.08,3.73,Barefoot,16,Sunny
2380,20260526,11:06 PM,33,3.26,SL2,14,Cloudy
2379,20260525,11:09 PM,38,3.74,Barefoot,11,Sunny
2378,20260524,7:17 AM,24.12,2.42,SL2,09,Cloudy
2377,20260523,7:26 AM,24.02,2.8,SL2,09,Cloudy
2376,20260522,9:39 PM,23,2.23,SL2,09,Sunny
2375,20260521,11:46 PM,31.02,3.39,Barefoot,13,Cloudy
2374,20260520,10:42 PM,16.02,1.95,SL2,09,Cloudy
2373,20260519,10:13 AM,19,2.5,SL2,09,Cloudy
2372,20260518,11:45 PM,16.23,1.8,Barefoot,13,Cloudy
2371,20260517,9:06 AM,32.05,3.71,SL2,09,Cloudy
2370,20260516,8:57 AM,31.08,4.01,SL2,09,Cloudy
2369,20260515,11:28 PM,33.03,3.72,SL2,08,Cloudy
2368,20260514,6:33 AM,33.02,3.76,Barefoot,10,Sunny
2367,20260513,11:17 PM,34,3.62,Boston 12,12,Cloudy
2366,20260512,11:21 PM,24.03,2.86,Barefoot,13,Cloudy
2365,20260511,11:57 PM,16.02,1.56,Barefoot,15,Sunny
2364,20260510,8:36 AM,6.32,0.72,Boston 12,13,Cloudy
2364,20260510,8:59 AM,18.78,3.14,Barefoot,13,Cloudy
2363,20260509,8:56 AM,50.03,4.62,Barefoot,13,Sunny
2362,20260508,11:29 PM,32.07,3.68,Barefoot,11,Sunny
2361,20260507,11:53 PM,15.77,1.53,Barefoot,13,Sunny
2360,20260506,11:30 PM,28.22,3.3,Barefoot,11,Cloudy
2359,20260505,4:12 PM,55.12,6.14,Barefoot,15,Cloudy
2358,20260504,7:39 PM,37.02,4.36,Barefoot,19,Sunny
2357,20260503,9:27 AM,24.23,2.31,Barefoot,17,Sunny
2356,20260502,7:30 PM,21,2.47,SL2,20,Sunny
2355,20260501,6:38 AM,29.08,3.34,SL2,11,Sunny
2354,20260430,7:30 AM,34.02,3.33,Barefoot,11,Sunny
2353,20260429,2:55 PM,24.02,2.6,Barefoot,16,Sunny
2352,20260428,10:26 PM,16.88,1.54,Barefoot,11,Cloudy
2351,20260427,8:33 PM,17.07,1.33,Barefoot,12,Cloudy
2350,20260426,11:25 PM,35.02,3.69,Barefoot,11,Sunny
2349,20260425,6:21 PM,21.97,2.28,Barefoot,16,Sunny
2348,20260424,11:31 PM,20.95,2.04,SL2,10,Sunny
2347,20260423,11:41 PM,19.03,1.56,Barefoot,10,Cloudy
2346,20260422,11:27 PM,25.03,1.8,Barefoot,10,Cloudy
2345,20260421,8:52 AM,19.02,1.35,Barefoot,11,Cloudy
2344,20260420,10:16 AM,182.23,26.38,Pro 4,04,Sunny
2343,20260419,9:17 AM,1.12,0.09,Pro 4,06,Rainy
2343,20260419,3:29 PM,12.87,1.35,SL2,07,Sunny
2342,20260418,9:26 AM,20.1,2.25,Boston 12,09,Sunny
