streak#,date,startTime,runningTime(min),Distance(mile),Shoes,temperature(C),weather
2170,20251028,10:31 pm,38,4.40,VaporGlove3,11,Rainy
2169,20251027,10:16 pm,26,3.64,VF3,07,Clear
2168,20251026,10:44 pm,21,2.38,Boston12,07,Cloudy
2167,20251025,07:37 am,115,14.14,VaporGlove3,07,Rainy
2166,20251024,11:32 am,26,3.23,VaporGlove3,12,Rainy
2165,20251023,07:51 am,66,9.83,SL2,11,Cloudy
2164,20251022,09:49 am,20,2.30,Barefoot,07,Cloudy
2163,20251021,10:41 pm,33,4.03,SL2,09,Sunny
2162,20251020,01:47 pm,35,4.44,Barefoot,13,Cloudy
2161,20251019,08:27 am,112,13.67,Boston12,11,Cloudy
2160,20251018,10:28 pm,32,3.71,VaporGlove3,10,Rainy
2159,20251017,10:40 am,34,4.05,Barefoot,11,Cloudy
2158,20251016,09:22 am,41,5.09,SL2,06,Sunny
2157,20251015,01:10 pm,20,2.39,Barefoot,11,Sunny
2156,20251014,07:53 pm,18,2.19,Boston12,10,Clear
2155,20251013,11:24 pm,43,5.18,Barefoot,07,Clear
2154,20251012,01:17 pm,67,9.20,Boston12,13,Cloudy
2153,20251011,10:06 am,40,5.60,SL2,12,Cloudy
2152,20251010,11:46 pm,15,1.76,SL2,11,Cloudy
2151,20251009,08:12 am,77,10.32,SL2,11,Cloudy
2150,20251008,12:17 pm,31,3.47,VaporGlove3,14,Cloudy
2149,20251007,10:03 pm,39,5.03,SL2,13,Clear
2148,20251006,10:28 am,35,4.11,Barefoot,13,Sunny
2147,20251005,07:54 am,91,12.27,Boston12,11,Sunny
2146,20251004,12:39 pm,39,5.02,SL2,15,Cloudy
2145,20251003,09:37 am,54,8.89,SL2,11,Cloudy
2144,20251002,10:13 pm,38,5.02,Barefoot,15,Sunny
2143,20251001,12:05 pm,29,3.35,VaporGlove3,15,Rainy
2142,20250930,01:13 pm,40,5.08,SL2,19,Cloudy
2141,20250929,02:00 pm,41,5.18,SL2,15,Rainy
2140,20250928,06:43 am,23,2.30,VaporGlove3,15,Clear
2139,20250927,09:15 am,64,6.85,VaporGlove3,15,Sunny
2138,20250926,09:24 am,24,3.14,SL2,13,Cloudy
2137,20250925,08:06 am,61,8.03,SL2,11,Cloudy
2136,20250924,11:57 am,26,3.21,SL2,17,Cloudy
2135,20250923,09:46 am,59,7.54,VaporGlove3,15,Sunny
2134,20250922,08:58 am,43,6.07,SL2,11,Sunny
2133,20250921,09:06 am,64,8.44,SL2,14,Rainy
2132,20250920,08:38 am,63,7.44,SL2,12,Sunny
2131,20250919,08:31 am,36,4.45,Barefoot,11,Sunny
2130,20250918,08:20 am,65,8.79,SL2,13,Sunny
2129,20250917,02:23 pm,41,5.06,VaporGlove3,21,Sunny
2128,20250916,10:49 pm,29,3.61,Boston12,22,Clear
2127,20250915,09:23 am,28,3.67,SL2,15,Sunny
2126,20250914,10:48 pm,29,3.62,SL2,14,Cloudy
2125,20250913,11:06 am,35,4.45,Boston12,19,Sunny
2124,20250912,08:50 am,32,3.98,VaporGlove3,14,Cloudy
